"Census Tracts in New York, NY",Tract_fips,County_name,County_fips,State_name,State_fips,"Geographic Years Available","% Population, Citizenship - Foreign Born - Not a Citizen, 2016","% Population, Citizenship - Foreign Born - Naturalized, 2016","% Population, Citizenship - Native, 2016","% Employment, Unemployed, 2016","Family Income Total ($), 2016","# Population Not in Poverty, Total, 2016","# Population, Female, Not in Poverty, Total, 2016","% Population, Female, Not in Poverty, Total, 2016","# Population, Male, Not in Poverty, Total, 2016","% Population, Male, Not in Poverty, Total, 2016","% Population Not in Poverty, Total, 2016","# Population, Female, in Poverty, Total, 2016","% Population, Female, in Poverty, Total, 2016","# Population, Male, in Poverty, Total, 2016","% Population, Male, in Poverty, Total, 2016","# Population Poverty Universe, 2016","# Population, Female, Poverty Universe, 2016","# Population, Male, Poverty Universe, 2016","# Population, Not Hispanic, 2016","% Population, Not Hispanic, 2016"
"CT000100, Bronx County, NY","36005000100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",12.2002,4.3183,83.4814,0,0,10467,841,8.0348,9626,91.9652,100.0000,0,0.0000,0,0.0000,10467,9626,841,6710,64.1062
"CT000200, Bronx County, NY","36005000200 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",8.7715,18.1617,73.0667,7.1773,110095964,3567,1803,39.8365,1764,38.9748,78.8113,593,13.1021,366,8.0866,4526,2130,2396,1325,29.2753
"CT000400, Bronx County, NY","36005000400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",8.7002,15.9965,75.3033,7.2129,160255452,5300,2642,45.7886,2658,46.0659,91.8544,321,5.5633,149,2.5823,5770,2807,2963,1738,30.1213
"CT001600, Bronx County, NY","36005001600 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",11.5957,17.7654,70.6389,7.2093,96355097,4973,2761,46.6700,2212,37.3901,84.0602,554,9.3644,389,6.5754,5916,2601,3315,2160,36.5112
"CT001900, Bronx County, NY","36005001900 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",22.8630,7.1061,70.0309,7.1932,13667100,964,431,22.1936,533,27.4459,49.6395,423,21.7817,555,28.5788,1942,1088,854,704,36.2513
"CT002000, Bronx County, NY","36005002000 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",10.2094,10.9472,78.8434,7.1656,122973238,5858,3063,33.2321,2795,30.3244,63.5565,2124,23.0444,1235,13.3992,9217,4030,5187,3390,36.7799
"CT002300, Bronx County, NY","36005002300 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",11.1750,8.8365,79.9885,7.1325,39460453,2196,1188,22.7717,1008,19.3214,42.0932,1787,34.2534,1234,23.6534,5217,2242,2975,1718,32.9308
"CT002400, Bronx County, NY","36005002400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",25.0000,50.0000,25.0000,0,111300,4,1,25.0000,3,75.0000,100.0000,0,0.0000,0,0.0000,4,3,1,0,0.0000
"CT002500, Bronx County, NY","36005002500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",25.0043,10.1159,64.8798,7.1685,39693907,2779,1308,22.6180,1471,25.4366,48.0546,1635,28.2725,1369,23.6728,5783,2840,2943,1132,19.5746
"CT002701, Bronx County, NY","36005002701 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",14.1049,5.1235,80.7716,7.1895,37475240,1771,834,25.7407,937,28.9198,54.6605,959,29.5988,510,15.7407,3240,1447,1793,1050,32.4074
"CT002702, Bronx County, NY","36005002702 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",25.7398,8.2393,66.0209,7.2289,29139031,2447,1266,26.9534,1181,25.1437,52.0971,1234,26.2721,1016,21.6308,4697,2197,2500,1078,22.9508
"CT002800, Bronx County, NY","36005002800 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",7.7825,13.7468,78.4707,7.1479,132692483,5252,2996,50.9091,2256,38.3347,89.2438,396,6.7290,237,4.0272,5885,2493,3392,4504,76.5336
"CT003100, Bronx County, NY","36005003100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",29.0608,11.3999,59.5393,7.1521,18022797,1349,649,38.3343,700,41.3467,79.6810,204,12.0496,140,8.2693,1693,840,853,584,34.4950
"CT003300, Bronx County, NY","36005003300 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",19.3021,14.1512,66.5467,7.2034,30729150,1843,934,25.8654,909,25.1731,51.0385,1087,30.1025,681,18.8590,3611,1590,2021,949,26.2808
"CT003500, Bronx County, NY","36005003500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",22.8159,11.1927,65.9914,7.2136,32006904,2391,1225,31.0205,1166,29.5265,60.5470,848,21.4738,710,17.9792,3949,1876,2073,966,24.4619
